text,degree_of_polarity
"Pickup #kopi , tetap buka meski tanggal libur 1 Jan 2023 (@ Kopi Kenangan Ruko Kaliurang in Kecamatan Depok, Daerah Istimewa Yogyakarta) https://t.co/0XJx6NfZxL",0
@tanyarlfes Part time di kopi kenangan aja ada kalo gasalah khusus mahasiswa,1
"aku tadi keliling"" naik motor sambil dengerin radiohead terus pesen sushi dan mam di warkop abis itu lanjut ke taichan terus abis itu order kopi kenangan sambil liat petasan di rooftop👍🏼👍🏼👍🏼",0
"wah, kopi kenangan nya sudah selesai. Makasih kopi atas pahit dan manis nyaa. Hari-hari kedepan, bulan-bulan, kopinya jangan banyak yang pahit yaa. 
Happy new year all, selamat datang bulan pertama di setiap tahun🎉🎉🎉🎉💥💥💥💥🎆🎆🎆🎇🎇🎇",0
"Menutup tahun dengan kenangan.
Kopi kenangan dan kenangan konser lys🫶 https://t.co/STPsoEes8r",1
"Moga 2023 tak jumpa dah sejenis yang 'tangkap muat'. Semua orang dia nak try. Tak tetap pendirian. Nak kenal someone, be serious la.

*Sekodar tb kenangan minum kopi tak habis

Kbye 2022😆",0
kondisi akhir tahun lagi flu + minum kopi kenangan + ngerjain airdrop sambil srat srot srat srot https://t.co/ZOOgRDYzCf,0
"Makasih kumpulan orang taken yang selalu temenin si jomblo ini food date dan date date lainnya. Buat menutup tahun ini, menunya kopi kenangan. Semoga kalian selalu ingat kenangan kita bersama (CRINGE ANYING). Tapi gpp tetep cayang kalian, maaf buat dosa gue yang tadi. 🥺💗 https://t.co/gCLYIB5kUm",0
"Lagi mau ngopi, ternyata Kopi Kenangan lagi ada diskon sampe besok. Net off 20k kalo pake QRIS BCA https://t.co/4MKNWp9Tge",0
Kopi dolce kopi kenangan enak😍,0
"Hi Kenangan Coffee,
Ipoh ni ramai hantu kopi. Boleh la dah bukak satu cawangan kat sini. 

🤪",0
Kopi kenangan dutch chocolate enak bgt dah,0
btw logonya mbc gayo ngingetin sama kopi kenangan dah wkwk,0
"Bye janjiw, kopi kenangan is my friend now",0
"Di sogok mantan buat jaga rumah selama dia ketemuan sama pacarnya💁🏻‍♂️ 
Lagian random bgt pulang kerja bawa kopi kenangan, mana tulisannya bgtu lagi😭 https://t.co/tRov9iayhv",0
It's like a bridge made out of Kopi Kenangan's Bottle https://t.co/KK2gYpnwSQ,0
kopi kenangan tai,0
"*di tuku*

mba2: iya mba silakan
gw: kopi kenangan mantan 1 ya",0
Straight cirit memang tinggal kenangan dalam lubang jamban lah lepas minum kopi ni.,0
Diskon 50% kopi Kenangan pake Blu skrg terakhir guys..,0
Masa iya taun baruan di Kopi Kenangan aja?,0
